exam_score,test_score,assignment_score,practical_score,final_score,performance_category,pass_fail
28.8,7.9,6.1,11.8,54.4,Average,Pass
39.8,6.0,7.9,14.7,67.9,Good,Pass
17.9,5.6,6.9,11.8,39.9,At Risk,Fail
31.6,9.1,7.0,11.7,58.6,Average,Pass
35.9,6.8,8.7,14.8,65.5,Good,Pass
33.9,7.7,6.3,13.2,59.9,Average,Pass
43.3,6.7,7.3,8.2,67.4,Good,Pass
38.5,5.6,8.3,9.5,58.2,Average,Pass
42.0,6.5,8.2,10.4,63.1,Average,Pass
27.4,8.7,7.0,11.1,54.2,Average,Pass
44.5,7.3,6.9,14.8,73.6,Good,Pass
52.4,3.9,5.1,14.2,76.5,Good,Pass
24.3,6.2,5.9,16.6,51.9,Average,Pass
25.2,9.2,7.6,15.7,55.8,Average,Pass
49.2,6.2,7.0,16.6,79.0,Good,Pass
32.7,3.8,7.3,15.3,58.2,Average,Pass
50.0,9.3,8.4,14.2,85.0,Excellent,Pass
30.0,7.5,5.8,16.7,59.3,Average,Pass
50.5,6.4,6.9,16.2,79.9,Good,Pass
36.2,5.9,7.4,14.7,69.2,Good,Pass
37.6,8.1,6.4,17.2,68.8,Good,Pass
51.7,5.7,8.9,7.0,74.4,Good,Pass
30.9,8.2,8.3,12.8,61.5,Average,Pass
24.6,7.3,7.5,12.7,53.7,Average,Pass
30.0,6.9,9.4,16.8,63.6,Average,Pass
39.7,6.7,5.4,18.0,70.2,Good,Pass
17.9,6.2,7.2,9.5,41.1,At Risk,Fail
41.7,8.1,7.6,17.6,73.8,Good,Pass
29.0,5.2,6.1,10.3,51.3,Average,Pass
47.2,4.1,7.6,10.4,73.3,Good,Pass
8.9,7.4,5.9,12.9,37.6,At Risk,Fail
26.3,7.4,8.0,12.7,55.1,Average,Pass
16.6,7.2,8.5,9.2,43.2,At Risk,Fail
25.9,7.1,7.5,15.4,54.2,Average,Pass
37.5,6.0,5.0,15.5,63.5,Average,Pass
32.9,7.7,6.0,16.6,65.0,Good,Pass
32.1,6.4,7.9,12.4,61.7,Average,Pass
33.1,5.8,7.2,13.5,58.0,Average,Pass
37.0,6.0,4.0,13.5,59.5,Average,Pass
23.9,9.5,8.7,18.3,64.8,Average,Pass
42.4,3.9,7.4,5.7,59.6,Average,Pass
42.0,7.2,6.2,10.9,70.0,Good,Pass
39.0,4.0,8.4,13.6,65.4,Good,Pass
40.8,6.3,6.4,10.6,64.6,Average,Pass
38.0,5.8,6.4,12.9,62.5,Average,Pass
56.8,3.4,7.6,13.2,82.9,Excellent,Pass
33.9,7.1,9.3,11.8,64.8,Average,Pass
31.5,5.9,9.1,13.8,58.3,Average,Pass
26.7,3.4,7.6,15.4,52.3,Average,Pass
23.7,7.8,7.8,12.9,53.9,Average,Pass
21.4,8.7,8.1,12.3,50.2,Average,Pass
25.2,8.7,5.7,13.1,51.8,Average,Pass
34.0,7.0,8.0,13.6,64.6,Average,Pass
38.4,6.6,6.3,8.7,62.2,Average,Pass
35.4,8.5,7.6,14.9,65.4,Good,Pass
26.5,9.0,6.9,12.3,55.2,Average,Pass
44.5,8.2,7.8,17.1,75.2,Good,Pass
42.8,5.1,7.3,15.3,68.7,Good,Pass
33.1,6.8,3.5,16.9,60.5,Average,Pass
27.7,7.2,7.4,10.8,53.2,Average,Pass
40.7,3.8,8.0,12.6,63.1,Average,Pass
36.8,7.2,7.7,10.1,60.5,Average,Pass
19.2,9.9,7.1,11.6,45.6,At Risk,Fail
34.1,7.5,9.2,17.1,68.7,Good,Pass
37.6,8.7,7.6,17.8,67.7,Good,Pass
25.1,6.8,7.7,10.4,47.9,At Risk,Fail
36.9,6.4,8.5,12.3,60.3,Average,Pass
19.1,7.1,7.6,13.4,48.0,At Risk,Fail
49.2,5.3,6.1,15.2,72.3,Good,Pass
48.3,5.1,4.3,8.7,66.3,Good,Pass
32.1,8.4,6.6,9.1,59.5,Average,Pass
38.7,8.6,8.1,15.0,73.7,Good,Pass
8.8,5.0,6.8,8.1,25.1,At Risk,Fail
22.3,8.0,8.2,12.3,51.4,Average,Pass
31.6,6.4,7.4,14.1,57.5,Average,Pass
23.2,7.0,8.7,14.8,51.4,Average,Pass
42.5,7.2,6.8,13.2,69.5,Good,Pass
56.4,8.0,7.8,12.6,87.2,Excellent,Pass
22.1,6.6,7.8,16.0,53.7,Average,Pass
25.8,8.6,9.0,14.4,56.3,Average,Pass
37.3,7.0,5.2,11.8,62.7,Average,Pass
52.2,7.4,6.6,13.7,75.5,Good,Pass
21.6,5.3,8.2,14.7,48.2,At Risk,Fail
37.5,9.7,9.1,18.4,73.0,Good,Pass
54.5,7.2,7.5,15.8,85.1,Excellent,Pass
17.0,7.6,6.8,17.0,48.0,At Risk,Fail
21.0,4.1,8.1,11.9,44.8,At Risk,Fail
30.2,5.3,8.2,12.1,55.5,Average,Pass
29.2,8.4,6.8,12.9,57.3,Average,Pass
43.6,6.9,7.6,13.2,72.4,Good,Pass
37.4,3.6,8.6,10.8,60.7,Average,Pass
15.6,8.1,9.5,17.1,49.7,At Risk,Fail
40.4,5.7,8.1,16.1,71.0,Good,Pass
28.6,8.6,7.3,12.7,58.8,Average,Pass
48.6,6.4,7.1,15.4,76.4,Good,Pass
28.0,6.8,7.9,14.2,56.8,Average,Pass
27.9,8.3,7.1,15.6,61.2,Average,Pass
40.6,5.2,7.4,9.8,60.9,Average,Pass
43.0,5.0,5.9,13.2,70.8,Good,Pass
39.6,6.2,8.8,13.4,65.4,Good,Pass
16.6,7.7,5.8,15.3,44.8,At Risk,Fail
40.6,4.5,6.7,11.8,61.7,Average,Pass
23.6,4.0,7.3,6.6,45.9,At Risk,Fail
37.3,7.7,9.6,10.6,64.2,Average,Pass
19.4,5.6,6.7,13.4,44.1,At Risk,Fail
39.6,5.9,6.4,13.8,65.0,Good,Pass
26.1,3.7,6.5,18.3,54.8,Average,Pass
20.9,5.5,9.2,15.2,50.2,Average,Pass
42.5,6.5,3.8,13.8,66.4,Good,Pass
37.4,7.9,6.0,13.5,57.8,Average,Pass
28.2,5.3,10.0,16.7,60.3,Average,Pass
50.5,9.0,7.9,11.9,79.4,Good,Pass
30.0,5.5,5.9,13.2,56.7,Average,Pass
35.1,5.5,7.1,10.6,60.9,Average,Pass
37.7,8.8,7.3,17.6,71.0,Good,Pass
28.1,6.8,8.2,14.7,59.5,Average,Pass
39.9,5.7,9.4,11.6,64.4,Average,Pass
29.0,6.3,7.7,13.3,57.8,Average,Pass
30.4,8.5,6.6,15.0,59.3,Average,Pass
49.5,8.7,8.1,12.9,76.9,Good,Pass
23.6,5.3,6.4,12.1,46.9,At Risk,Fail
8.7,6.4,6.0,11.8,35.7,At Risk,Fail
52.2,6.6,5.1,14.5,78.8,Good,Pass
60.0,5.0,5.3,12.6,85.9,Excellent,Pass
30.4,6.4,6.1,12.3,53.8,Average,Pass
13.9,6.5,5.8,9.9,38.1,At Risk,Fail
31.4,8.2,7.6,13.8,59.7,Average,Pass
31.7,8.3,5.8,13.1,59.3,Average,Pass
32.7,6.0,3.4,12.7,55.3,Average,Pass
22.8,6.2,5.9,14.2,50.4,Average,Pass
41.1,7.5,6.6,15.7,71.4,Good,Pass
40.5,5.6,6.5,15.6,66.6,Good,Pass
18.7,7.4,9.0,15.1,52.0,Average,Pass
42.4,6.4,6.5,12.9,71.6,Good,Pass
57.0,5.0,8.3,12.0,81.1,Excellent,Pass
36.7,5.1,7.2,10.7,55.9,Average,Pass
31.2,8.7,7.1,11.9,59.9,Average,Pass
33.3,6.3,6.2,13.7,58.7,Average,Pass
41.4,9.0,7.1,11.4,68.7,Good,Pass
16.1,5.7,6.3,13.9,43.1,At Risk,Fail
36.6,6.9,7.4,10.9,60.9,Average,Pass
30.6,10.0,6.9,8.9,55.9,Average,Pass
54.8,4.9,6.1,15.9,81.4,Excellent,Pass
32.9,3.7,8.4,12.3,60.2,Average,Pass
52.8,8.4,7.7,11.3,80.3,Excellent,Pass
22.9,5.3,6.7,10.5,42.9,At Risk,Fail
41.1,6.5,7.4,14.8,67.4,Good,Pass
38.2,5.6,7.1,17.4,68.7,Good,Pass
25.4,6.9,6.2,12.5,48.7,At Risk,Fail
36.7,5.1,7.3,13.0,58.9,Average,Pass
47.9,6.2,6.5,16.6,78.5,Good,Pass
31.3,7.2,6.1,8.5,54.4,Average,Pass
16.5,5.0,5.3,19.1,45.1,At Risk,Fail
34.6,5.4,6.8,20.0,67.4,Good,Pass
25.1,6.0,7.9,6.0,45.3,At Risk,Fail
31.1,4.4,6.4,13.3,56.4,Average,Pass
33.9,5.9,10.0,11.6,62.6,Average,Pass
16.4,6.7,8.3,12.9,39.0,At Risk,Fail
17.4,5.9,8.8,12.4,44.0,At Risk,Fail
40.0,6.1,8.2,15.9,71.2,Good,Pass
29.2,6.5,9.4,13.3,57.5,Average,Pass
7.1,5.5,6.3,11.0,30.0,At Risk,Fail
43.3,7.5,4.1,13.1,69.6,Good,Pass
37.7,8.7,6.7,15.0,68.3,Good,Pass
27.1,5.8,7.9,10.3,54.1,Average,Pass
20.6,7.2,7.4,9.0,46.4,At Risk,Fail
43.8,6.1,7.5,19.2,76.4,Good,Pass
38.6,7.0,8.8,11.8,65.8,Good,Pass
60.0,8.8,7.7,13.2,84.0,Excellent,Pass
39.3,7.3,8.2,12.5,66.6,Good,Pass
39.0,3.8,6.1,15.1,61.3,Average,Pass
33.0,7.2,5.9,18.6,65.1,Good,Pass
43.6,8.3,9.1,15.2,76.6,Good,Pass
41.6,6.2,7.3,9.3,65.8,Good,Pass
48.3,8.0,6.5,9.7,75.3,Good,Pass
29.2,5.5,6.5,12.5,53.5,Average,Pass
30.1,4.3,6.4,12.8,58.2,Average,Pass
29.6,6.7,6.3,8.8,51.9,Average,Pass
43.3,3.9,5.7,15.9,66.1,Good,Pass
51.0,6.1,5.4,10.6,72.0,Good,Pass
29.8,8.4,7.0,17.8,62.3,Average,Pass
30.2,3.6,6.5,18.7,60.2,Average,Pass
38.2,4.6,8.5,12.9,62.3,Average,Pass
32.1,5.0,7.6,14.8,58.9,Average,Pass
45.1,6.4,7.5,10.2,68.8,Good,Pass
10.5,6.0,6.3,15.3,37.2,At Risk,Fail
25.9,8.6,7.1,12.2,55.4,Average,Pass
26.3,7.9,7.6,10.6,53.8,Average,Pass
9.7,7.2,8.1,12.8,40.2,At Risk,Fail
24.4,6.7,7.1,12.3,49.8,At Risk,Fail
24.9,7.1,8.5,12.7,55.6,Average,Pass
32.6,5.2,7.2,16.3,58.6,Average,Pass
46.8,7.8,8.2,11.4,71.4,Good,Pass
32.2,4.8,6.6,18.5,59.6,Average,Pass
23.7,7.8,5.0,9.9,46.4,At Risk,Fail
34.2,8.3,7.5,18.1,70.5,Good,Pass
46.1,6.8,8.1,10.8,70.6,Good,Pass
24.3,6.2,7.9,13.6,51.0,Average,Pass
25.0,7.1,7.7,12.2,51.6,Average,Pass
40.8,2.2,6.8,12.6,63.6,Average,Pass
32.4,7.0,6.2,15.8,60.5,Average,Pass
41.8,6.3,7.9,17.8,72.7,Good,Pass
34.7,6.4,7.7,16.9,63.0,Average,Pass
42.4,7.6,6.5,12.5,67.8,Good,Pass
23.6,6.4,8.5,14.1,55.0,Average,Pass
34.7,4.8,6.1,11.4,57.2,Average,Pass
32.5,6.3,6.5,10.8,54.7,Average,Pass
21.7,6.6,9.2,10.4,50.3,Average,Pass
17.9,6.7,8.2,12.4,44.0,At Risk,Fail
42.2,6.7,6.8,14.3,72.9,Good,Pass
31.0,8.1,7.5,8.2,57.7,Average,Pass
23.8,4.9,7.4,13.5,49.6,At Risk,Fail
33.8,6.8,3.9,17.8,59.3,Average,Pass
47.0,8.4,6.1,16.7,82.9,Excellent,Pass
10.2,3.9,7.1,12.0,33.9,At Risk,Fail
18.6,6.8,6.8,9.7,41.2,At Risk,Fail
24.8,5.6,7.5,14.9,54.8,Average,Pass
50.6,5.9,8.6,7.1,73.6,Good,Pass
37.9,5.1,6.8,16.7,69.1,Good,Pass
43.1,6.2,5.9,13.0,66.9,Good,Pass
22.5,9.3,7.6,18.7,58.7,Average,Pass
22.7,4.6,6.8,8.8,40.5,At Risk,Fail
39.6,4.7,7.0,16.2,68.9,Good,Pass
35.4,4.5,6.8,13.3,60.1,Average,Pass
40.7,9.1,9.9,12.7,72.9,Good,Pass
32.8,5.8,4.5,9.8,52.6,Average,Pass
37.8,6.5,6.7,15.3,65.8,Good,Pass
36.5,5.9,7.2,15.5,63.4,Average,Pass
43.2,5.1,6.3,18.6,74.7,Good,Pass
43.5,6.1,8.3,16.4,77.3,Good,Pass
17.3,10.0,8.2,11.9,46.3,At Risk,Fail
10.5,8.6,7.1,10.8,38.2,At Risk,Fail
45.6,5.2,6.9,9.8,68.3,Good,Pass
47.6,7.5,7.1,17.7,79.9,Good,Pass
23.8,5.3,7.1,11.4,44.5,At Risk,Fail
14.7,3.8,7.1,17.7,40.8,At Risk,Fail
35.9,8.0,7.0,15.1,64.4,Average,Pass
44.9,8.2,7.5,14.5,70.8,Good,Pass
54.2,8.1,8.1,12.7,85.9,Excellent,Pass
40.4,5.8,5.7,15.4,68.1,Good,Pass
30.8,6.2,5.9,13.6,56.5,Average,Pass
25.2,7.6,5.1,12.6,46.1,At Risk,Fail
34.9,7.1,8.2,15.5,62.2,Average,Pass
31.6,5.9,7.5,13.2,58.2,Average,Pass
23.8,4.1,7.8,11.4,51.0,Average,Pass
56.9,6.7,5.5,15.3,83.0,Excellent,Pass
54.1,8.1,9.3,13.4,86.7,Excellent,Pass
47.1,4.7,6.5,15.0,72.3,Good,Pass
24.9,7.5,7.4,12.3,52.2,Average,Pass
44.0,7.0,8.2,10.2,71.9,Good,Pass
41.7,7.6,6.0,18.5,73.1,Good,Pass
39.6,7.8,6.5,17.9,70.5,Good,Pass
48.3,5.5,7.4,16.1,80.1,Excellent,Pass
41.7,4.1,10.0,12.5,68.3,Good,Pass
42.8,5.7,7.6,12.8,71.0,Good,Pass
41.7,7.8,9.1,17.5,74.7,Good,Pass
38.5,5.7,8.6,12.6,68.2,Good,Pass
15.5,5.5,7.6,11.8,41.0,At Risk,Fail
35.7,3.8,6.0,18.8,65.2,Good,Pass
28.8,9.1,8.5,13.5,60.1,Average,Pass
21.0,7.7,5.4,18.6,51.7,Average,Pass
53.0,7.7,9.1,9.7,79.4,Good,Pass
53.5,8.0,7.4,15.1,83.0,Excellent,Pass
49.5,7.4,4.0,19.4,82.2,Excellent,Pass
37.6,6.1,6.8,13.7,63.8,Average,Pass
49.4,6.3,8.0,12.9,73.5,Good,Pass
34.9,5.9,6.9,10.3,54.7,Average,Pass
37.0,10.0,8.1,16.6,68.2,Good,Pass
23.0,7.3,6.2,11.4,49.2,At Risk,Fail
39.1,5.8,5.6,13.3,61.6,Average,Pass
35.5,7.2,7.1,10.1,60.5,Average,Pass
20.7,5.0,7.2,18.0,51.2,Average,Pass
34.2,8.8,6.8,16.8,66.5,Good,Pass
33.9,5.5,8.7,13.5,62.5,Average,Pass
54.2,7.3,6.2,10.4,78.3,Good,Pass
44.5,8.1,7.6,17.9,72.6,Good,Pass
34.9,7.1,7.3,12.6,61.2,Average,Pass
37.5,6.6,5.3,10.5,60.8,Average,Pass
35.3,6.5,5.6,8.7,59.4,Average,Pass
32.6,6.4,7.2,11.8,61.4,Average,Pass
23.1,5.6,9.6,9.5,45.1,At Risk,Fail
33.2,5.8,7.9,11.9,58.0,Average,Pass
26.7,8.7,5.1,15.7,53.1,Average,Pass
21.3,6.3,3.5,12.5,46.7,At Risk,Fail
40.3,5.3,8.1,14.6,70.3,Good,Pass
39.0,5.7,7.1,11.6,64.1,Average,Pass
15.5,8.2,8.6,13.8,46.3,At Risk,Fail
33.5,7.5,6.1,19.0,68.9,Good,Pass
45.6,7.3,7.6,12.6,75.6,Good,Pass
46.2,6.1,8.2,14.7,77.6,Good,Pass
45.9,7.4,6.7,9.2,70.0,Good,Pass
35.2,5.5,6.7,17.9,64.6,Average,Pass
25.7,6.1,7.2,12.3,52.8,Average,Pass
23.1,8.0,7.9,16.5,57.1,Average,Pass
38.5,7.8,7.2,13.3,66.4,Good,Pass
38.9,5.0,8.4,15.3,66.9,Good,Pass
48.7,5.2,6.6,15.5,78.3,Good,Pass
46.7,6.7,5.6,12.3,74.6,Good,Pass
33.4,9.1,9.6,16.7,67.2,Good,Pass
21.4,3.6,6.5,11.5,42.4,At Risk,Fail
31.4,6.9,6.5,15.8,61.3,Average,Pass
37.1,4.4,7.1,12.5,62.2,Average,Pass
32.6,5.5,7.3,14.6,59.0,Average,Pass
28.6,6.0,6.7,12.3,57.3,Average,Pass
37.5,5.9,7.2,13.7,65.2,Good,Pass
29.4,5.7,7.2,10.6,53.9,Average,Pass
28.0,6.5,7.4,14.3,59.7,Average,Pass
38.2,5.7,4.4,13.7,61.1,Average,Pass
30.5,4.3,9.5,12.1,56.1,Average,Pass
37.4,7.7,7.0,13.4,63.1,Average,Pass
37.8,7.6,7.9,14.0,66.9,Good,Pass
22.5,7.8,5.5,11.9,44.7,At Risk,Fail
29.6,4.2,6.6,13.2,55.2,Average,Pass
50.3,6.9,6.4,10.8,75.3,Good,Pass
22.2,7.5,9.0,20.0,58.2,Average,Pass
11.9,5.0,6.5,16.6,39.8,At Risk,Fail
14.7,6.5,8.1,14.4,45.2,At Risk,Fail
35.1,6.3,6.4,16.9,62.5,Average,Pass
35.1,9.3,6.7,8.1,59.5,Average,Pass
33.5,9.4,6.9,6.4,57.7,Average,Pass
47.9,4.0,8.7,12.5,69.6,Good,Pass
5.9,10.0,4.9,9.7,32.0,At Risk,Fail
39.1,5.1,5.6,12.9,59.4,Average,Pass
51.7,8.0,4.9,14.2,78.4,Good,Pass
22.6,8.0,5.9,16.2,50.3,Average,Pass
30.7,5.0,6.2,10.4,55.2,Average,Pass
26.7,7.2,5.3,14.7,51.6,Average,Pass
25.1,6.3,6.3,13.6,48.1,At Risk,Fail
31.3,7.3,4.8,14.6,58.2,Average,Pass
50.2,6.8,6.0,12.1,74.4,Good,Pass
54.6,8.3,8.6,17.5,86.0,Excellent,Pass
31.2,6.6,7.7,13.3,59.8,Average,Pass
55.4,6.2,7.4,18.6,83.6,Excellent,Pass
35.2,8.1,6.0,11.4,58.6,Average,Pass
53.7,7.4,5.4,15.7,81.0,Excellent,Pass
33.8,7.6,5.8,13.4,62.3,Average,Pass
36.2,5.5,7.1,12.7,64.1,Average,Pass
38.7,4.9,8.2,15.4,69.5,Good,Pass
60.0,5.6,8.3,12.8,86.4,Excellent,Pass
44.0,5.6,8.0,6.1,58.8,Average,Pass
27.2,7.7,6.3,5.0,47.0,At Risk,Fail
45.3,8.0,7.2,17.2,80.6,Excellent,Pass
30.9,6.3,6.8,17.0,63.5,Average,Pass
29.5,8.6,7.0,18.9,64.9,Average,Pass
44.6,8.6,9.6,13.6,74.0,Good,Pass
35.1,6.9,5.1,10.0,56.0,Average,Pass
37.8,5.3,6.9,12.4,66.3,Good,Pass
35.0,8.9,8.7,13.6,63.3,Average,Pass
38.4,6.4,5.4,10.8,58.8,Average,Pass
39.4,6.7,6.4,18.2,72.6,Good,Pass
13.9,6.0,6.6,19.9,45.4,At Risk,Fail
42.0,5.2,6.9,14.9,66.7,Good,Pass
24.2,4.3,5.3,13.6,50.4,Average,Pass
19.2,7.4,7.9,10.0,45.5,At Risk,Fail
34.2,5.3,8.0,17.9,64.7,Average,Pass
35.7,10.0,7.8,13.8,65.0,Good,Pass
27.3,4.9,6.2,12.8,55.2,Average,Pass
43.8,4.6,7.3,14.9,70.6,Good,Pass
20.3,7.3,6.1,12.0,48.4,At Risk,Fail
30.4,8.8,6.8,14.0,61.8,Average,Pass
28.5,6.6,9.8,9.6,53.4,Average,Pass
34.3,7.4,7.3,16.6,64.6,Average,Pass
37.8,3.7,5.8,13.3,63.5,Average,Pass
23.9,5.5,7.4,16.8,56.6,Average,Pass
42.6,4.9,5.6,13.0,62.4,Average,Pass
35.5,3.7,5.8,13.2,59.2,Average,Pass
14.4,6.7,6.0,10.2,37.0,At Risk,Fail
13.6,3.1,6.7,15.7,37.1,At Risk,Fail
34.7,4.5,8.3,11.1,59.2,Average,Pass
32.4,5.7,7.9,12.2,55.5,Average,Pass
33.7,5.3,7.8,13.6,59.4,Average,Pass
34.5,7.1,5.9,13.9,59.8,Average,Pass
37.2,7.0,6.6,8.8,58.6,Average,Pass
45.0,7.8,7.5,13.0,73.2,Good,Pass
22.8,7.6,6.4,15.8,50.7,Average,Pass
22.1,8.2,6.9,12.5,52.9,Average,Pass
23.0,6.5,7.7,13.0,51.2,Average,Pass
37.9,7.0,6.8,14.1,69.3,Good,Pass
48.2,7.3,7.5,13.2,75.9,Good,Pass
30.1,6.7,9.1,10.7,55.6,Average,Pass
7.8,5.9,7.0,13.5,37.7,At Risk,Fail
16.4,6.0,8.6,16.4,46.2,At Risk,Fail
25.8,5.3,7.9,10.7,49.2,At Risk,Fail
28.8,7.1,5.4,12.6,55.3,Average,Pass
30.4,6.4,5.9,9.7,49.9,At Risk,Fail
35.2,5.5,6.2,16.2,64.6,Average,Pass
31.4,5.5,6.2,13.3,57.6,Average,Pass
46.1,4.7,7.1,11.2,71.7,Good,Pass
27.5,8.0,7.9,13.9,59.0,Average,Pass
25.5,6.6,8.7,10.2,53.6,Average,Pass
40.0,5.2,7.6,10.7,63.2,Average,Pass
18.2,7.7,6.7,9.5,40.4,At Risk,Fail
39.0,5.7,4.7,10.6,64.2,Average,Pass
35.9,4.4,7.3,17.4,61.9,Average,Pass
33.2,8.0,7.2,11.5,57.2,Average,Pass
52.0,5.7,7.4,14.9,81.1,Excellent,Pass
28.1,5.9,9.7,11.3,58.2,Average,Pass
57.1,6.6,8.7,15.7,88.4,Excellent,Pass
32.4,8.2,8.1,10.7,61.4,Average,Pass
21.0,6.5,6.0,13.7,43.3,At Risk,Fail
35.6,4.7,6.6,13.7,59.6,Average,Pass
23.2,7.3,7.1,20.0,53.8,Average,Pass
26.7,5.8,6.3,15.4,55.6,Average,Pass
39.1,9.3,7.8,11.9,65.1,Good,Pass
40.8,6.5,7.6,15.5,67.9,Good,Pass
28.1,3.1,5.9,19.6,57.7,Average,Pass
45.5,7.0,8.6,9.0,72.3,Good,Pass
47.3,9.4,7.3,11.2,75.0,Good,Pass
50.3,8.9,5.1,12.9,78.4,Good,Pass
40.5,9.2,7.1,12.4,70.4,Good,Pass
49.5,5.0,7.5,12.7,74.3,Good,Pass
14.5,7.9,8.4,9.9,38.5,At Risk,Fail
31.4,5.4,6.8,17.5,62.2,Average,Pass
25.4,6.8,8.2,9.6,51.3,Average,Pass
36.1,4.6,7.4,13.0,62.9,Average,Pass
28.6,5.5,5.6,16.5,56.9,Average,Pass
33.0,5.5,5.5,13.5,55.2,Average,Pass
55.1,7.8,8.5,10.9,83.8,Excellent,Pass
33.0,7.7,8.6,9.8,59.1,Average,Pass
39.3,6.9,7.6,13.0,65.8,Good,Pass
32.3,4.5,9.0,11.5,56.7,Average,Pass
35.6,6.0,8.5,14.2,62.9,Average,Pass
34.9,5.4,8.0,9.7,59.7,Average,Pass
39.6,7.8,6.1,15.9,66.6,Good,Pass
47.4,8.3,9.3,13.9,76.9,Good,Pass
52.6,8.1,7.8,14.1,82.0,Excellent,Pass
38.1,5.4,6.7,17.6,71.1,Good,Pass
41.2,2.4,6.4,12.4,64.4,Average,Pass
22.4,3.8,7.5,11.6,42.0,At Risk,Fail
33.9,8.6,5.2,12.1,62.4,Average,Pass
45.0,5.9,8.0,13.1,74.7,Good,Pass
44.2,5.4,6.1,13.3,66.6,Good,Pass
37.1,9.0,7.6,11.3,59.9,Average,Pass
44.4,8.4,6.6,7.9,67.1,Good,Pass
40.1,6.5,6.9,12.0,67.8,Good,Pass
47.8,6.1,6.3,14.6,77.9,Good,Pass
37.9,6.3,7.0,14.0,63.5,Average,Pass
31.0,6.8,9.5,17.0,67.7,Good,Pass
38.4,8.9,8.9,19.1,70.8,Good,Pass
3.1,7.1,7.6,15.7,32.9,At Risk,Fail
38.9,7.6,7.2,17.5,70.3,Good,Pass
0.0,8.3,8.2,15.7,34.5,At Risk,Fail
16.2,4.7,8.6,18.4,50.5,Average,Pass
39.7,7.6,6.2,18.8,74.2,Good,Pass
40.0,6.1,7.1,16.3,66.7,Good,Pass
22.2,2.7,5.0,15.6,47.3,At Risk,Fail
27.1,3.3,8.5,13.0,53.0,Average,Pass
49.6,5.0,9.7,13.5,74.4,Good,Pass
29.6,7.3,7.3,12.7,52.7,Average,Pass
59.0,6.7,4.6,15.3,87.8,Excellent,Pass
34.8,6.8,7.9,11.6,60.7,Average,Pass
39.2,9.4,6.1,13.1,65.2,Good,Pass
52.3,4.6,6.4,7.0,69.9,Good,Pass
36.2,6.5,8.0,18.4,69.8,Good,Pass
24.0,7.0,7.5,13.0,51.3,Average,Pass
33.6,5.4,6.6,14.9,57.4,Average,Pass
34.4,6.5,6.4,17.7,68.8,Good,Pass
20.1,4.1,7.4,14.4,48.0,At Risk,Fail
32.0,8.6,6.7,17.6,64.3,Average,Pass
26.8,5.5,5.9,10.1,47.7,At Risk,Fail
44.8,9.5,6.8,20.0,81.9,Excellent,Pass
35.2,6.5,7.6,16.6,63.6,Average,Pass
31.7,8.0,7.0,14.2,61.6,Average,Pass
33.7,6.4,5.5,17.6,60.5,Average,Pass
37.2,6.5,8.4,10.3,62.2,Average,Pass
41.5,5.6,3.9,12.8,61.5,Average,Pass
24.0,6.7,6.7,17.6,52.8,Average,Pass
23.6,7.0,6.5,8.4,48.6,At Risk,Fail
46.7,5.3,7.4,15.2,74.7,Good,Pass
30.3,6.3,7.9,15.1,60.0,Average,Pass
19.5,5.6,8.6,19.1,48.7,At Risk,Fail
39.6,9.9,6.3,9.2,63.9,Average,Pass
39.8,6.4,7.9,18.1,73.1,Good,Pass
18.3,8.8,7.4,12.0,46.9,At Risk,Fail
37.3,6.2,5.1,12.3,56.7,Average,Pass
42.7,6.9,9.5,10.2,69.7,Good,Pass
38.8,4.5,5.5,10.6,60.1,Average,Pass
41.6,5.8,7.7,14.7,72.5,Good,Pass
19.6,6.8,7.7,10.5,43.3,At Risk,Fail
38.4,8.9,7.5,15.7,66.0,Good,Pass
31.5,6.8,6.6,11.7,54.7,Average,Pass
29.6,8.6,8.2,10.2,54.4,Average,Pass
44.2,7.5,5.3,12.1,70.6,Good,Pass
50.8,8.9,7.1,14.5,75.9,Good,Pass
54.2,6.4,6.5,12.8,79.0,Good,Pass
49.0,10.0,6.4,13.7,81.9,Excellent,Pass
33.6,5.8,7.7,15.5,62.7,Average,Pass
38.6,5.4,8.5,16.6,70.9,Good,Pass
43.1,4.7,6.8,12.7,64.0,Average,Pass
36.1,10.0,8.1,10.7,61.7,Average,Pass
36.2,7.7,7.3,13.8,67.9,Good,Pass
43.7,6.0,6.1,14.9,70.9,Good,Pass
34.2,8.4,6.9,9.5,59.1,Average,Pass
26.9,7.5,6.8,11.1,50.2,Average,Pass
30.3,9.4,6.4,11.6,57.9,Average,Pass
41.6,4.2,7.7,13.0,64.3,Average,Pass
34.8,6.1,7.5,11.5,62.3,Average,Pass
38.5,5.8,5.3,15.6,70.6,Good,Pass
42.0,3.5,5.2,9.1,60.9,Average,Pass
30.8,8.1,7.7,9.2,54.5,Average,Pass
43.0,6.1,6.2,12.7,62.9,Average,Pass
38.9,7.6,7.6,13.1,63.8,Average,Pass
21.5,10.0,8.1,9.5,52.2,Average,Pass
50.4,6.0,5.7,11.9,71.9,Good,Pass
29.4,5.9,5.5,12.5,52.5,Average,Pass
16.9,6.7,9.2,12.5,46.6,At Risk,Fail
23.5,8.0,7.6,14.0,56.1,Average,Pass
23.8,5.6,6.7,11.7,47.5,At Risk,Fail
35.4,5.6,6.1,17.7,63.9,Average,Pass
